gauge_id,source,calibration_kge,validation_kge,n_cal_obs,n_val_obs,TT,CFMAX,CFR,CWH,FC,LP,BETA,K0,K1,K2,UZL,PERC,MAXBAS,used_in_analysis,gauge_lat,gauge_lon,area,country,gla_pc_sse,glacier_pass,is_duplicate,dup_partner,include_in_analysis
camelsdk_510002,camelsdk,0.8890849003959062,0.7467857943361726,5113,4449,-0.4004682022768211,5.453596122532414,0.0505181173877034,0.0748868629698291,250.14754920658112,0.6511630544631288,6.0,0.2658324894263413,0.1378453393664526,0.1088588333394362,35.57805321059229,1.9951258895052248,3.452380071723134,True,55.70229,11.62529,35.35793887737925,Denmark,0.0,True,False,,True
camelsdk_510018,camelsdk,0.7699803539282022,0.6342171973702841,5113,1096,-0.9084181351180632,2.281834380007603,0.0915617226045743,0.1097202299304558,500.0,0.3,2.4067432829344098,0.05,0.01,0.0544702825067849,43.090852951111,6.0,1.36289737552393,True,55.68388,11.30109,23.375663931103404,Denmark,0.0,True,False,,True
camelsdk_510020,camelsdk,0.8668444405304481,0.8294876189790448,5113,6209,0.2694579372954853,2.320956777538388,0.0327386032429182,0.0001195738755652,171.8638945532013,0.7668636277083198,5.56871076311104,0.2004418456223474,0.2025264187484786,0.1241614726164476,62.16114325283691,1.7209021641480131,3.404892294820521,True,55.77217,11.62485,62.01650875273744,Denmark,0.0,True,False,,True
camelsdk_510022,camelsdk,0.8400452688619771,0.8357477184403579,4017,1096,0.9999052020538868,6.233699880896131,0.0265223576059548,4.6638902065315616e-05,171.41377542893233,0.6906191344648633,5.998481555049299,0.2153500312241197,0.2773378403338556,0.1496204433899665,95.93760346797008,1.3375177606537971,2.100124645472126,True,55.73449,11.45464,25.20294319610807,Denmark,0.0,True,False,,True
camelsdk_510024,camelsdk,0.909361314503414,0.8096231612969198,5113,6209,-0.3972814099527321,2.475359289707028,0.0475951356810973,0.0953904451444553,177.6039875031198,0.4962684719307884,3.492033594387162,0.4001966555955724,0.0948366919162765,0.082317048215165,83.81803190512096,2.32004139536292,2.4990684043056133,True,55.70089,11.58631,106.44189809950193,Denmark,0.0,True,False,,True
camelsdk_510025,camelsdk,0.4983817213748894,0.3898815488192252,5113,1096,-0.7699966960940747,3.730492571748372,0.0797317371878578,0.2,500.0,0.3,4.7400169727896655,0.4309093583721551,0.01,0.0703734866780039,100.0,6.0,1.0,True,55.69955,11.8493,20.067439057807643,Denmark,0.0,True,False,,False
camelsdk_510026,camelsdk,0.8785077966962922,0.7779317259900748,5113,5058,-0.647586540347505,2.95749705389264,0.0497566318009274,0.1032291677732351,213.5492612478683,0.6614098703895184,4.676791525802203,0.1915097681447022,0.1225113763015342,0.0672904769895146,44.09315020235066,1.3515657557928944,1.8380241643309685,True,55.63449,11.79256,33.7656339471116,Denmark,0.0,True,False,,True
camelsdk_510047,camelsdk,0.9052060494353388,0.8883755437825256,3444,1096,-0.0591914228454147,5.002128060788971,0.0666342854583823,0.0,223.47557597799272,0.6326247676926495,5.999840354910832,0.2804921059262651,0.1310336951320573,0.1044624649812479,28.68626983581541,1.3946409137646003,3.468476149494196,True,55.6853,11.70207,13.40978297932531,Denmark,0.0,True,False,,True
camelsdk_520020,camelsdk,0.5207469905171387,0.6444872329249782,5113,6209,-0.7872604578035323,1.982607388394736,0.0647584173248864,0.0442954358770379,500.0,0.3,5.368726688186657,0.0879706088804573,0.0572571740499049,0.0877759024073842,45.99235123309144,4.312121416290701,2.05351137890886,True,55.70422,12.26193,28.97264735975751,Denmark,0.0,True,False,,True
camelsdk_520022,camelsdk,0.7812748891020465,0.7477428730816795,5113,2557,0.1628956423230093,4.576650912594782,0.090344023278776,0.1051916473123653,319.308374869001,0.3379309107128487,1.7773566618342636,0.2138533895701555,0.1741823616645626,0.0491906972260457,69.75810745191114,1.2777612638668292,1.842306781198636,True,55.77224,12.29328,38.14497291694461,Denmark,0.0,True,False,,True
camelsdk_520025,camelsdk,0.7200554221561228,0.7060052294181246,5113,6209,-0.2175162141348278,1.9323639677516449,0.0,0.0293159598215131,498.32147816579663,0.3082953075871272,2.190594936082762,0.4556786786336487,0.1190506612333239,0.001,41.63646433839054,0.484978761221575,2.317975485679735,True,55.84828,12.12188,25.245185140791584,Denmark,0.0,True,False,,True
camelsdk_520029,camelsdk,0.7411781053618965,0.7615557293075363,5113,6209,-0.7804235758198588,1.963221693537882,0.0765020379971745,0.0870663874049817,477.73496939646753,0.3780759645381069,4.092638325640779,0.2105503316244782,0.0512251287424125,0.1154468437085392,47.56428095968557,5.454123202381767,2.183395911537084,True,55.89975,12.15114,102.19295806015526,Denmark,0.0,True,False,,True
camelsdk_520035,camelsdk,0.7643678118205549,0.594326133487881,5113,1096,-0.7080835888224919,4.328031977167026,0.0116953027580017,0.1249755557596144,258.28616196088274,0.3,2.7952704647458657,0.1324318769806525,0.1823635114817693,0.001,51.44340526477729,1.0930237583177078,3.805760101485976,True,55.83709,12.07441,28.548364704690748,Denmark,0.0,True,False,,True
camelsdk_520039,camelsdk,0.6204671075284807,0.6504901792818856,5113,6209,-1.5178605887021837,8.759111658956948,0.0652429951957482,0.1953112479065486,500.0,0.300030891155554,2.494962295409416,0.0512592362326601,0.0107013872192781,0.0633256821115509,16.36832949465419,3.8859280800622216,1.1083758984922334,True,55.74086,12.22628,109.96335425572326,Denmark,0.0,True,False,,True
camelsdk_520063,camelsdk,0.4736522606163996,0.6753007105379463,5113,6209,-1.1717543942364066,1.92028963194214,0.0734770173691943,0.130128118979432,499.8663336473573,0.3,5.0548973932817205,0.2527328202483824,0.0134183828228811,0.0639715062908722,68.01776682830905,3.469413904639161,3.10620535140698,True,55.72687,12.13583,67.50974759659496,Denmark,0.0,True,False,,False
camelsdk_520064,camelsdk,0.5291647053644061,0.725132518642306,5113,2922,-1.2483796902203117,1.3768503174420088,0.0981709382562399,0.0,499.9983835698689,0.3000014452454852,4.485805550562408,0.0718898007713664,0.0105260081736618,0.0694438535700563,100.0,5.99159213755226,2.2171826043796345,True,55.72721,12.21413,54.35266539909805,Denmark,0.0,True,False,,True
camelsdk_520068,camelsdk,0.7813746862405181,0.7875456567149751,5113,6209,-0.6402041660798867,2.491332578809062,0.0689738337255109,0.0898045383956766,325.8942213817748,0.4203451723915203,5.821487942902505,0.1718146937874634,0.067692442830502,0.1060844031021681,79.75141027659757,4.725674132949862,2.273515984139208,True,55.62622,11.98063,174.3286427661167,Denmark,0.0,True,False,,True
